2011365561-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,PRINS-HENDRIKSTRAAT,WO,07/12/2011,06.45,WO,07/12/2011,17.15,2011,12,WO,12.00-17.59,HEREN,FIETS,GAZELLE,CHAMONIX-PLUS,GRIJS
2011369559-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,STATIONSWEG,DO,08/12/2011,18.00,DO,08/12/2011,23.15,2011,12,DO,18.00-23.59,DAMES,FIETS,GIANT,CS5,ZILVERKLEURIG
2011018302-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,STATIONSWEG,ZA,15/01/2011,09.00,ZO,16/01/2011,21.20,2011,1,ZO,00.00-05.59,DAMES,FIETS,GAZELLE,CHAMONIX-PLUS-A,ONBEKEND
2011016716-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,01-STRAND-EN-DUIN,BADWEG,ZA,15/01/2011,23.00,ZO,16/01/2011,02.00,2011,1,ZO,00.00-05.59,HEREN,FIETS,GAZELLE,ARTMAP01-TOEGEV,ONBEKEND
2011365250-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,STATIONSWEG,MA,05/12/2011,08.05,DI,06/12/2011,13.45,2011,12,MA,18.00-23.59,DAMES,FIETS,BATAVUS,PADOVA-DN7-W.GR,MEERKLEURIG
2011371845-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,RIETDIJKHOF,DI,13/12/2011,11.30,WO,14/12/2011,01.25,2011,12,DI,18.00-23.59,DAMES,FIETS,GAZELLE,PUNTA,GROEN
2011372687-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,PASTOOR-ONDERWATERHOF,MA,05/12/2011,05.45,MA,12/12/2011,08.00,2011,12,DO,18.00-23.59,HEREN,FIETS,GAZELLE,ORANAGE,MEERKLEURIG
2013171454-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,CORNELIS-STERRENBURGSTR,MA,03/06/2013,06.10,MA,03/06/2013,14.30,2013,6,MA,06.00-11.59,HEREN,FIETS,GAZELLE,ORANGE-LIMITED,BLAUW
2011369603-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,STATIONSWEG,ZO,11/12/2011,09.58,ZO,11/12/2011,22.00,2011,12,ZO,12.00-17.59,SPORT,FIETS,KOGA-MIYATA,TRAVELLER-LADY,BLAUW
2011369762-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,STATIONSWEG,VR,09/12/2011,16.30,VR,09/12/2011,20.30,2011,12,VR,18.00-23.59,HEREN,FIETS,GAZELLE,CADIZ,ZWART
2013144445-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,PRINS-HENDRIKSTRAAT,MA,29/04/2013,17.00,MA,29/04/2013,21.00,2013,4,MA,18.00-23.59,DAMES,FIETS,RIVEL,MET-REK-VOOROP,ORANJE
2013143840-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,PRESIDENT-VAN-HEELSTRAAT,WO,08/05/2013,21.00,DO,09/05/2013,14.00,2013,5,DO,00.00-05.59,DAMES,FIETS,SPARTA,MARATHON-7.0-D5,CREME
2013145304-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,01-STRAND-EN-DUIN,STRANDWEG,ZO,05/05/2013,20.00,ZO,05/05/2013,22.30,2013,5,ZO,18.00-23.59,HEREN,FIETS,PUCH,COUNTRY,ZWART
2012281026-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,PRESIDENT-JAN-LELSSTRAAT,DO,15/03/2012,07.00,DO,15/03/2012,15.00,2012,3,DO,06.00-11.59,DAMES,FIETS,BATAVUS,0,ONBEKEND
2013146362-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,RIETDIJKSTRAAT,DO,09/05/2013,20.00,DO,09/05/2013,20.30,2013,5,DO,18.00-23.59,DAMES,FIETS,UNION,GOLDRUN,KOPERKLEURIG
2013139547-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,STATIONSWEG,WO,01/05/2013,07.00,WO,01/05/2013,16.30,2013,5,WO,06.00-11.59,HEREN,FIETS,GAZELLE,ORANGE-LIMITED,GRIJS
